10, 10, , 300, 23600, 20.199, 1.077, 21907.689, 67.33, 0.53
10, 15, , 450, 32484, 67.649, 2.07, 15695.845, 150.33, 0.48
10, 20, , 600, 44320, 147.039, 2.079, 21322.113, 245.066, 0.48
10, 35, , 1050, 73268, 480.481, 3.119, 23491.295, 457.601, 0.45
10, 3, , 90, 9096, 3.514, 1.069, 8506.501, 39.04, 0.77
10, 50, , 1500, 90244, 745.342, 3.259, 27688.9, 496.895, 0.39
10, 5, , 150, 13240, 6.802, 1.071, 12360.556, 45.347, 0.63
2, 10, , 60, 6736, 0.743, 0.102, 66075.524, 12.376, 0.77
2, 15, , 90, 9816, 3.568, 1.07, 9175.129, 39.645, 0.73
2, 20, , 120, 12896, 7.676, 1.068, 12079.713, 63.971, 0.72
2, 35, , 210, 22136, 19.587, 1.076, 20579.724, 93.27, 0.7
2, 3, , 18, 2424, 0.134, 0.079, 30531.153, 7.421, 1.0
2, 50, , 300, 31376, 81.238, 3.067, 10228.563, 270.792, 0.69
2, 5, , 30, 3656, 0.244, 0.085, 43265.165, 8.144, 0.87
3, 10, , 90, 10104, 2.55, 1.068, 9462.849, 28.335, 0.77
3, 15, , 135, 14724, 7.185, 1.074, 13715.294, 53.225, 0.73
3, 20, , 180, 19344, 12.982, 1.072, 18040.488, 72.122, 0.72
3, 35, , 315, 33204, 60.684, 2.074, 16007.529, 192.649, 0.7
3, 3, , 27, 3636, 0.195, 0.083, 44026.651, 7.24, 1.0
3, 50, , 450, 46736, 196.871, 3.067, 15236.051, 437.49, 0.68
3, 5, , 45, 5484, 2.382, 1.07, 5125.522, 52.931, 0.87
5, 10, , 150, 13960, 6.912, 1.071, 13029.088, 46.079, 0.63
5, 15, , 225, 20220, 12.472, 1.073, 18846.848, 55.431, 0.6
5, 20, , 300, 26480, 28.049, 1.087, 24358.876, 93.495, 0.58
5, 35, , 525, 45260, 119.171, 2.069, 21874.73, 226.992, 0.56
5, 3, , 45, 5196, 0.434, 0.094, 55496.636, 9.639, 0.87
5, 50, , 750, 63384, 381.275, 3.08, 20579.565, 508.367, 0.55
5, 5, , 75, 7700, 3.028, 1.071, 7192.643, 40.368, 0.73
8, 10, , 240, 19744, 13.979, 1.075, 18359.532, 58.245, 0.56
8, 15, , 360, 28300, 35.378, 2.068, 13686.937, 98.272, 0.52
8, 20, , 480, 35544, 68.708, 2.07, 17173.015, 143.142, 0.49
8, 35, , 840, 61048, 294.448, 3.069, 19890.874, 350.533, 0.47
8, 3, , 72, 7536, 1.964, 1.068, 7058.846, 27.276, 0.79
8, 50, , 1200, 84748, 715.082, 3.235, 26193.241, 595.902, 0.45
8, 5, , 120, 11024, 3.451, 1.068, 10324.176, 28.757, 0.66
