10, 10, , 300, 40400, 0.76, 20.768, 1945.26, 2.532, 1.0
10, 15, , 450, 60600, 1.103, 30.77, 1969.426, 2.452, 1.0
10, 20, , 600, 80800, 1.503, 40.772, 1981.739, 2.505, 1.0
10, 35, , 1050, 140416, 3.443, 70.772, 1984.049, 3.279, 0.99
10, 3, , 90, 12120, 0.268, 6.769, 1790.632, 2.979, 1.0
10, 50, , 1500, 178548, 18.032, 100.77, 1771.835, 12.021, 0.88
10, 5, , 150, 20200, 0.405, 10.773, 1874.98, 2.699, 1.0
2, 10, , 60, 8080, 0.207, 3.977, 2031.916, 3.457, 1.0
2, 15, , 90, 12120, 0.287, 5.973, 2029.262, 3.191, 1.0
2, 20, , 120, 16160, 0.341, 7.973, 2026.956, 2.844, 1.0
2, 35, , 210, 28280, 0.637, 13.969, 2024.551, 3.035, 1.0
2, 3, , 18, 2424, 0.075, 1.177, 2059.692, 4.191, 1.0
2, 50, , 300, 40400, 0.967, 19.972, 2022.79, 3.225, 1.0
2, 5, , 30, 4040, 0.098, 1.974, 2046.619, 3.278, 1.0
3, 10, , 90, 12120, 0.22, 6.069, 1997.111, 2.443, 1.0
3, 15, , 135, 18180, 0.349, 9.074, 2003.601, 2.583, 1.0
3, 20, , 180, 24240, 0.528, 12.072, 2007.876, 2.931, 1.0
3, 35, , 315, 42420, 0.866, 21.077, 2012.648, 2.748, 1.0
3, 3, , 27, 3636, 0.081, 1.87, 1944.609, 2.995, 1.0
3, 50, , 450, 60600, 1.296, 30.074, 2015.057, 2.879, 1.0
3, 5, , 45, 6060, 0.146, 3.075, 1970.959, 3.237, 1.0
5, 10, , 150, 20200, 0.405, 10.271, 1966.612, 2.697, 1.0
5, 15, , 225, 30300, 0.564, 15.275, 1983.571, 2.508, 1.0
5, 20, , 300, 40400, 0.742, 20.27, 1993.054, 2.472, 1.0
5, 35, , 525, 70700, 1.376, 35.277, 2004.167, 2.62, 1.0
5, 3, , 45, 6060, 0.144, 3.272, 1851.802, 3.209, 1.0
5, 50, , 750, 100836, 1.865, 50.274, 2005.742, 2.487, 1.0
5, 5, , 75, 10100, 0.229, 5.276, 1914.51, 3.059, 1.0
8, 10, , 240, 32320, 0.621, 16.575, 1949.878, 2.587, 1.0
8, 15, , 360, 48480, 0.917, 24.571, 1973.096, 2.547, 1.0
8, 20, , 480, 64640, 1.143, 32.57, 1984.623, 2.381, 1.0
8, 35, , 840, 111944, 4.121, 56.533, 1980.147, 4.906, 0.99
8, 3, , 72, 9696, 0.193, 5.37, 1805.695, 2.686, 1.0
8, 50, , 1200, 161600, 2.897, 80.572, 2005.655, 2.414, 1.0
8, 5, , 120, 16160, 0.343, 8.574, 1884.854, 2.854, 1.0
