8, 10, , 160, 22548, 98.544, 3.005, 7503.988, 0.616, 0.99
10, 5, , 100, 14200, 25.804, 2.002, 7093.982, 0.258, 1.0
5, 35, , 350, 46180, 462.685, 3.077, 15006.032, 1.322, 0.93
3, 3, , 18, 2556, 2.342, 1.004, 2546.327, 0.13, 1.0
8, 15, , 240, 33228, 216.112, 3.01, 11039.302, 0.9, 0.97
10, 35, , 700, 56984, 722.776, 3.311, 17208.937, 1.033, 0.58
8, 50, , 800, 60412, 778.669, 3.391, 17815.54, 0.973, 0.53
10, 20, , 400, 51792, 572.205, 3.121, 16592.938, 1.431, 0.92
10, 50, , 1000, 59684, 795.116, 3.447, 17313.51, 0.795, 0.42
8, 5, , 80, 11360, 18.017, 1.018, 11155.521, 0.225, 1.0
3, 35, , 210, 29028, 156.936, 3.002, 9670.632, 0.747, 0.97
5, 3, , 30, 4260, 2.065, 1.002, 4253.312, 0.069, 1.0
5, 50, , 500, 53464, 664.896, 3.259, 16403.095, 1.33, 0.76
3, 10, , 60, 8520, 10.566, 2.002, 4256.474, 0.176, 1.0
10, 3, , 60, 8520, 15.944, 2.003, 4252.898, 0.266, 1.0
10, 15, , 300, 40224, 312.654, 3.013, 13350.211, 1.042, 0.94
8, 3, , 48, 6816, 9.529, 1.013, 6725.632, 0.199, 1.0
3, 5, , 30, 4260, 4.873, 1.007, 4231.283, 0.162, 1.0
2, 10, , 40, 5680, 3.946, 1.003, 5661.793, 0.099, 1.0
2, 20, , 80, 11360, 17.571, 1.02, 11142.076, 0.22, 1.0
5, 10, , 100, 14200, 23.246, 1.019, 13938.417, 0.232, 1.0
2, 5, , 20, 2840, 2.434, 1.003, 2830.728, 0.122, 1.0
5, 20, , 200, 27444, 120.444, 3.003, 9137.58, 0.602, 0.96
2, 35, , 140, 18184, 39.56, 1.036, 17554.723, 0.283, 0.91
8, 35, , 560, 55580, 684.793, 3.246, 17123.349, 1.223, 0.71
10, 10, , 200, 27496, 145.156, 3.003, 9155.117, 0.726, 0.96
3, 20, , 120, 16644, 38.635, 2.002, 8315.28, 0.322, 0.97
2, 50, , 200, 27504, 139.358, 3.01, 9138.311, 0.697, 0.96
2, 3, , 18, 2136, 0.33, 0.027, 80568.609, 0.018, 1.0
2, 15, , 60, 8520, 9.19, 1.008, 8450.648, 0.153, 1.0
5, 5, , 50, 7100, 13.391, 2.003, 3544.23, 0.268, 1.0
3, 15, , 90, 12780, 17.019, 2.001, 6386.061, 0.189, 1.0
5, 15, , 150, 20956, 76.456, 2.013, 10411.044, 0.51, 0.99
3, 50, , 300, 38692, 296.854, 3.011, 12848.288, 0.99, 0.9
8, 20, , 320, 43744, 392.59, 3.033, 14421.897, 1.227, 0.96
